Mdr,km_per_l
1997M07,16.7
1997M08,16.1
1997M09,16.6
1997M10,16.8
1997M11,16.5
1997M12,16.7
1998M01,16.9
1998M02,16.8
1998M03,17.1
1998M04,17.4
1998M05,16.7
1998M06,17.2
1998M07,17.4
1998M08,17.5
1998M09,17.7
1998M10,17.9
1998M11,17.5
1998M12,17.5
1999M01,17.9
1999M02,17.8
1999M03,17.9
1999M04,18.1
1999M05,18.1
1999M06,18
1999M07,18.2
1999M08,18.2
1999M09,18.1
1999M10,18.5
1999M11,18.3
1999M12,18.2
2000M01,18.2
2000M02,18.2
2000M03,19
2000M04,18.3
2000M05,18.6
2000M06,18.9
2000M07,20.4
2000M08,20.6
2000M09,20.5
2000M10,19.8
2000M11,19.6
2000M12,19.6
2001M01,19.1
2001M02,19.3
2001M03,19.3
2001M04,19.1
2001M05,19.1
2001M06,19.3
2001M07,20.5
2001M08,20.9
2001M09,20.8
2001M10,21.6
2001M11,21
2001M12,19.8
2002M01,21.1
2002M02,20.7
2002M03,20.5
2002M04,19.9
2002M05,20.2
2002M06,19.7
2002M07,20.2
2002M08,20.1
2002M09,20.2
2002M10,20.1
2002M11,20.1
2002M12,19.9
2003M01,20.9
2003M02,20.3
2003M03,19.5
2003M04,19.9
2003M05,19.6
2003M06,19.4
2003M07,19.7
2003M08,20
2003M09,20
2003M10,20.1
2003M11,19.6
2003M12,19
2004M01,19.9
2004M02,19.8
2004M03,19.6
2004M04,19.5
2004M05,19.3
2004M06,19.4
2004M07,19.7
2004M08,19.6
2004M09,19.7
2004M10,19.7
2004M11,19.4
2004M12,18.8
2005M01,20.1
2005M02,19.6
2005M03,19.5
2005M04,19.4
2005M05,19.4
2005M06,19.3
2005M07,19.6
2005M08,19.3
2005M09,19
2005M10,18.9
2005M11,18.6
2005M12,17.9
2006M01,18.8
2006M02,18.7
2006M03,18.6
2006M04,18.7
2006M05,18.6
2006M06,18.4
2006M07,18.5
2006M08,18.6
2006M09,18.3
2006M10,18.3
2006M11,18.2
2006M12,18
2007M01,18.2
2007M02,18.1
2007M03,18.1
2007M04,18
2007M05,18.9
2007M06,18.9
2007M07,19
2007M08,19.7
2007M09,19.4
2007M10,19.6
2007M11,19.5
2007M12,18.7
2008M01,19.8
2008M02,19.7
2008M03,19.8
2008M04,19.8
2008M05,20.1
2008M06,19.7
2008M07,19.8
2008M08,20
2008M09,19.8
2008M10,19.8
2008M11,19.4
2008M12,18.7
2009M01,20.1
2009M02,20.6
2009M03,20.2
2009M04,20.5
2009M05,20.3
2009M06,19.9
2009M07,19.9
2009M08,20.2
2009M09,20.5
2009M10,20.5
2009M11,20.3
2009M12,19.7
2010M01,21.4
2010M02,21.2
2010M03,21.7
2010M04,21.1
2010M05,21.7
2010M06,21.4
2010M07,21.7
2010M08,21.7
2010M09,21.7
2010M10,21.9
2010M11,21.3
2010M12,20
2011M01,21.7
2011M02,21.9
2011M03,21.9
2011M04,22.1
2011M05,22
2011M06,21.8
2011M07,22.2
2011M08,22.2
2011M09,22.3
2011M10,22
2011M11,21.7
2011M12,21.1
2012M01,22.6
2012M02,22.1
2012M03,22.5
2012M04,22.7
2012M05,23.4
2012M06,23
2012M07,22.8
2012M08,23.9
2012M09,23.8
2012M10,23.6
2012M11,23.7
2012M12,22.6
2013M01,23.5
2013M02,23.5
2013M03,23.5
2013M04,23.8
2013M05,23.9
2013M06,23.6
2013M07,23.6
2013M08,23.7
2013M09,23.8
2013M10,24
2013M11,23.7
2013M12,23.4
2014M01,23.7
2014M02,23.9
2014M03,24
2014M04,23.9
2014M05,24
2014M06,24
2014M07,24.4
2014M08,24.5
2014M09,24.6
2014M10,24.6
2014M11,24.5
2014M12,24.2
2015M01,25
2015M02,25.1
2015M03,25
2015M04,25.1
2015M05,25.1
2015M06,25
2015M07,26
2015M08,26.1
2015M09,26.4
2015M10,25.9
2015M11,25.6
2015M12,25.9
2016M01,26.4
2016M02,26.4
2016M03,25.6
2016M04,26
2016M05,25.9
2016M06,25.8
2016M07,26.5
2016M08,26.5
2016M09,26.3
2016M10,26.3
2016M11,26.5
2016M12,25.9
2017M01,26.8
2017M02,26.5
2017M03,25.9
2017M04,25.9
2017M05,25.7
2017M06,25.8
2017M07,26.1
2017M08,26
2017M09,26.9
2017M10,25.1
2017M11,24.9
2017M12,25
2018M01,26.3
2018M02,25.8
2018M03,25.4
2018M04,25.3
2018M05,25.3
2018M06,25.6
2018M07,25.1
2018M08,25.6
2018M09,25
2018M10,24.6
2018M11,24.2
2018M12,24.1
2019M01,24.8
2019M02,25.2
2019M03,25.3
2019M04,24.7
2019M05,25
2019M06,25.2
2019M07,25.9
2019M08,25.3
2019M09,26.1
2019M10,26
2019M11,25.2
2019M12,24.7
2020M01,26.1
2020M02,26.9
2020M03,26.5
2020M04,26.2
2020M05,26.3
2020M06,25.8
2020M07,26.7
2020M08,26.8
2020M09,27.1
2020M10,27.1
2020M11,26.3
2020M12,26.1
2021M01,23.2
2021M02,22.9
2021M03,22.9
2021M04,22.9
2021M05,22.8
2021M06,22.6
